Sno,Text
184,"मोदी सर्कार में बाबा लोग कानून से ऊपर हो गये ? @Shehzad_Ind https://t.co/TqIqVc7cwQ"""
185,"@Raiavi99 @upma23 ""विनाश काले विपरीत बुद्धि"" जब नाष मनुज पर छाता है पहले विवेक मर जाता है। कांग्रेस अपने किये पर मंथन करे, जनता सब समझती है"
186,@deepfeelingssss जलता रह डाकू 
187,@MangalKumawat हमें बैंक धमकी देता है भ्रष्टाचारियों मैहरबान मध्यप्रदेश सरकार नहीं चलेगा जागो किसान भाइयों जय हिंद जय भारत
188,@MangalKumawat हम भी कम नहीं इस कानून लड़ाई लड़ने तयारी कर रहे हैं जागो किसान भाइयों जय हिंद
189,विश्वास में अगर संदेह घुसेड़ लो;तो विश्वास-विश्वास नहीं रहता; विष-वास हो जाता है।। ##Su##
190,@DivyaGwalani निर्दोष Bapu Ji को हिंदू संत होने की मिल रही है सज़ा! संत समाज ने उठाया सवाल - #MisuseOfRapeLaws Stop Rape law misuse ASAP!
191,अमीर लोग कर्ज़ नहीं चुका पाते तो देश छोड़ भाग  जाते हैं किसान कर्ज़ नहीं चुका पाते तो यह्म लोग उठा जाते गजब का कानून है भाई
192,सन्डे की सुबह बड़ी सुहानी सी लगती है पर रात आते ही मंडे केे आने का एहसास शरीर में सिहरन पैदा कर देता है
193,आज के 'सेकुलर बुद्धजिवी' अर्थात् हिन्दू विरोधी विक्षिप्त क्रांतिकारी कुत्ता !
194,@Guddi_07 @dcchoudhary197 नहीं लगता की आपको रूठना आता होगा.. :(
195,@htTweets लोक नायक अस्पताल में मरीजों के इलाज में जाॅच की रिपोर्ट नही दी जा रही है जिस कारण मरीजों का इलाज पूरा नही हो पा रहा है। Pl help
196,‘गुलाम’ यजीदी महिलाओं को नहीं है ‘मां’ बनने का अधिकार https://t.co/ocIseb9ko4
197,"बलात्कार के झूठे आरोप लगा, जब एक व्यक्ति को जेल में बंद किया जाता है, तो क्या कानून उसका वह सम्मान लौटा पाएगा? #MisuseOfRapeLaws"
198,@ChouhanShivraj @RSSorg कांग्रेसी पैदाइशी चोर और घोटालेबाज हैं। पप्पू की वजह दिमाग से पदल भी हो गये है। बेचारे कांग्रेसियों पर दया आती है।
199,केतली और इसके दोस्त की चाय तो बहुत महँगी पड़ रही है भाई #RollBackEPF :(
200,"टेंशन, फ़िक्र, दर्द है मुझसे ट्वीट नही हो पाएगे @Myth_busterz @alamgirizvi @PainoliD @DILIPLOHIA @1Patelzuber @RishiWithRG @OfficeOfRG"
201,मोदी सर्कार में बाबा लोग कानून से ऊपर हो गये ? शर्म की बात है @Shehzad_Ind https://t.co/TqIqVc7cwQ
202,RT @chink47: कसम से इंसानियत से विश्वास ही उठ गया जब चाय के एक कप के भी 1/3 कर के पीने वाले भी #AfterTakingTwoPegs पे ट्वीट करने शुरू हो …
203,भारतीय चौकड़ी का न खेलना 'रहस्य' ही रहा  http://bbc.in/1TXeRcK  :(
