Sno,Text
45,@Gurmeetramrahim मेरे मौला दुनियां को सुधारने का तूने क्या अनोखा ढंग निकाला है अब तो लगता है जल्दी ही सतयुग आने वाला है. #MSGProducts4U.
46,@Gurmeetramrahim @MSGAllTrading शुद्ध खाना शुद्ध पीना शुद्धता का ही जमाना है  इस शुद्धता की वजह से ही MSG का दीवाना है #MSGProducts4U.
47,@apkajitanram शुक्रिया मालिक <3
48,तुम भी अच्छे … तुम्हारी वफ़ा भी अच्छी...!!
49,#MSG2in500CrClub MSG फूल बाग सजा देता है सितारा संसार चमका देता है जहाँ दुनिया भरके रिश्ते काम नही आते सतगुरू ज़िन्दगी बना देता है.
50,रिकार्डों के बादशाह DR.MSG की मुवी MSG 2 the मैसेंजर ने सबको पछाड़ते हुए 500 करोड़ का बिजनेस कर लिया है
51,@upwalebhaiji इसी में तो मज़ा है यारा 😊 फक्र है
52, वो तो मल्लिका-ए-ज़िन्दगी है मेरी 😊😊
53,@why_russ thnx के लिए किसी को nyc dp नहीं बोलता वैसे वो सेल्फ़ी किसमे गॉगल्स में स्कूटर दिख रहा था गज़ब की थी
54,@silkeesbhatt @The_KingOnion जुग जुग जियो दूधो नहाओ पूतो फलो
55,बिहारी लोग आपकी भाषा नहीं समझते @narendramodi जी। https://t.co/AdixpnG4Ec
56,पढ़ें और मित्रों के साथ शेयर करें #India #hastakshep https://t.co/Ed7Xc5S0wO
57,@IndianExpress https://t.co/LM4BP295UU इसके बारे मैं कुछ कहेंगे गुप्ता जी और झा साहब
58,परिवार के बाहर जाएगी पंजाब की राजनीति? https://t.co/2gpF4gGNm8
59,RT @canikhilesh: जबसे मेक इन इंडिया (Make In India) का नारा लगा है . . देश के दुश्मन भी देश में ही बनने लगे है.........
60,RT @rajachampion24: Digital India से जुड़िए अब RS 15000-25000/महीना कमायें. 
61,RT @SatyagrahNews: आप दिल्ली-एनसीआर में रहते हैं तो इस वीकेंड मॉल घूमने या फिल्म देखने के बजाय यह भी कर सकते हैं https://t.co/SBNnfCvsjP vi…
62,"RT @ZeeNewsHindi: पीएम मोदी ने नीतीश के साथ मंच किया साझा, बोले-भारत की उन्नति के लिए बिहार का विकास जरूरी https://t.co/SJDczLMaOg"
63,RT @MadhavK88: अब बैंकों का कर्ज नहीं चुकाने वाले बाजार से नहीं ले पाएंगे धन... https://t.co/DU2Un7dz49 https://t.co/1keejHjvvZ
64,RT @saveratimes: #Delhi #SriSriRaviShankar के कार्यक्रम के लिए AAP सरकार ने मांगी थी सेना की मदद https://t.co/6L3x0NpR3w https://t.co/h8Vip…
65,"इन #PHOTOS ने मचाया था दुनिया में बवाल, जानिए कैसी है #माल्या की #LIFE - https://t.co/55ukQv5gSH #VijayMallya #India https://t.co/6y9qZPlDEk"
66,"RT @oneindiaHindi: अब एक SMS पर फौरन साफ होगा आपके ट्रेन का कोच, लॉन्च हुई 'क्लीन माई कोच' सेवा https://t.co/MAVH7tWvtm #Railway"
67,एबीपी न्यूज पर दिनभर की बड़ी खबरेंhttps://t.co/uwhY3SSqdC
68,RT @saveratimes: #Delhi #Automobile फोर्ड इंडिया ने ईकोस्पोर्ट की कीमत 1.12 लाख रुपये तक घटाई https://t.co/hwK8BEtqDf https://t.co/klOWTBWn…
69,RT @Banarasi_Hindu: #फैन इसी भी दूसरे दिन डाउनलोड करके देखूंगा ! @iYashwant @krishnpria https://t…
70,हाई कोर्ट ने डीईआरसी के अध्यक्ष की नियुक्ति पर मांगा जवाब https://t.co/onF7qIrUg7
71,माल्या के देश से बाहर जाने पर प्रधानमंत्री को ''स्पष्टीकरण'' देना चाहिए : केजरीवाल - ABP News https://t.co/poGcL17h6H #India
72,@AAPVind @500Urvashi @MediaVsIndia @Maddy_Saheb @farziRastravadi ऊड़ा रोका कोन है
73,@SriSri खुले आम देश के कानून व्यवस्था को चेलेजं कर रहे है अगर यही शब्द आजम खान ने बोल दिया होता तो क्या होता? मोदी संसद मै #ModiSingsOoLaLa
74,अब तक सरकारो ने उघोगपतिओ के चार लाख करोड माफ किए है। भारत के सभी किसानों का कजॅ सरकार को माफ कर देदेना चाहिए।
75,RT @ZeeNewsHindi: मैच जीतने के बाद एमएस धोनी क्यों उखाड़ लाते हैं स्टंप ! https://t.co/8OAZUVqIkj
76,भारत-पाक मैच टिकटों का ऑनलाइन पंजीकरण 12 मार्च से शुरू https://t.co/OM6ajFOixZ
77,RT @TWlTTER_Manish: जल्द ही दिल्ली सरकार दिल्ली को अलग देश भी घोषित कर देगी। https://t.co/oCPoeATdW6
78,RT @prabin1206: केजरू CBI मोदी राज में ही सिर्फ PM की बात मानती है तो कांग्रेस राज में सिर्फ सोनिया अम्मा की ही बात मानती थी क्या ? https:/…
79,"दिल्ली में तेज़ बारिश के साथ ओले, ट्रैफिक जाम हाईवे पे, #delhi #rain"
80,"नीतीश ने मोदी से कहा-बिहार आते रहिए, पीएम ने नारे लगा भीड़ को शांत कराया - Zee News हिन्दी https://t.co/poGcL17h6H #India"
81,RT @nitindevss: कोई इसको freedom251 ला के दो रे....... https://t.co/deb15xwVl0
82,RT @ZeeNewsHindi: मैं प्रधानमंत्री का चमचा कहे जाने की परवाह नहीं करता : खेर https://t.co/FZfbWsFlPG
83,RT @sidhantjain15: @ANI_news ye Delhi nahi hai na ji
84,@Nirmalogy बता किसे सिसिया दूं
85,@anpadh00 BC बेलन की याद काहे दिलाता है बार बार 
86,@soninikita मैं हूँ ना ...  निम्बू मिर्ची जैसा
87,@PPBhaishri ...विश्वगुरुवे नम:।कृष्णम् वंदे जगतगुरुम्।जयश्रीकृष्ण॥ https://t.co/rsUGpbWe4I
88,"आ जाओ यारों , मेरे हाथों से बनी पाव भाजी  https://t.co/mxH3Vacrls"
89,@SciLeNtSoUl उसके साथ होता हूँ तभी जँचता हूँ 
90,@why_russ  हर सन्डे उसकी फरमाइश की चीज़ बनाता हूँ *जो मुजको आती हो*
91,@deepfeelingssss ध्यान रखियो कभी कभी धार लिखने वाले पर भी डाल देता है
92,@silkeesbhatt तभी तो किया उसको भी पता होना चाहिए पीठ पीछे घरवाली क्या क्या कर रही है @The_KingOnion
93,कृपया आप अपने वाहन से यात्रा कर रहे हैं तो सड़क पर निर्धारित गति-सीमा का भी ध्‍यान रखें । निर्धारित गति-सीमा से अधिक तेज अपने वाहन को न चलायें ।
94,"उ0प्र0 यातायात पुलिस की ‘जिम्मेदार नागरिक’ पहल में शामिल होने के लिए आप आमंत्रित हैं ।
इस पहल में शामिल होने के लिए आप अपने आप से वादा करें कि सड़कों व सार्वजनिक स्‍थानों पर कूड़ा नहीं फेकेंगे।
मैं एक ‪#‎जिम्‬‍मेदारनागरिक हूँ ।"
95,"RT @DainikBhaskar: अब आम आदमी को मिलेगी जेल की चाय, कैदियों ने शुरू किया स्टार्टअप https://t.co/AqWqFmDQov https://t.co/7PyW3BfYrz"
96,@Nirmalogy बस यही काफी है उसका साथ पाने के लिए
97,सिंधी के घर एक बार मारवाड़ी गया। सिंधी - चाय में शक्कर कितनी लेगा बाबा मारवाड़ी - होटल में 3 चम्मच दूसरे के घर में 2 चम्मच
98,@DharmeshASampat चर्चा चाय के साथ तपरि पे
99,"RT @InduKumari1: @sukhvirgarcha यह उन मेहमानो के लिए, जो हर बार आधा कप चाय पीने की इच्छा रखते है। https://t.co/psQETDoVQw"
100,"ना पूछो जमाने को की क्या हमारी कहानी है....., . . . हमारी पहचान तो सिर्फ ये है की हम #हिन्दूस्तानी है.....!! @akshaykumar @AnupamPkher"
101,@ArvindKejriwal श्री श्री जी के प्रोग्राम मे दर्शन दे आते आप भी इस कार्यक्रम मे सभी धर्मो के लोग आये हैं यह तक पाकिस्तान से भी आए हुए हैं !!
